Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.201609937,2.1427515251889595
1,1000,0,1.281081099,1.5611814127623782
1,1400,0,4.063539509,1.350546730958338
1,1800,0,18.342731816,0.6358921951759511
1,2200,0,38.738351058,0.5497394550458566
1,2600,0,68.561322748,0.51270889462274
1,3000,0,113.704591849,0.47491485719162635
2,600,0,0.116422589,3.7106201099857
2,1000,0,0.516135159,3.8749540021163336
2,1400,0,1.64773278,3.3306371437242395
2,1800,0,3.635725893,3.2081626457201127
2,2200,0,6.70302622,3.1770724596688207
2,2600,0,11.10663792,3.1649541700374435
2,3000,0,17.028185808,3.1712127533063623
