Operation,Dimention,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_THREADS
5,600,0,0.113222,10816742,37606456,3.8155,4
5,600,0,0.14655,9856511,37822636,2.9478,6
5,600,0,0.178291,9026601,36573676,2.4230,8
5,1000,0,0.367216,45196358,138672764,5.4464,4
5,1000,0,0.418803,34982754,125054637,4.7755,6
5,1000,0,0.566547,31515911,121115893,3.5302,8
5,1400,0,1.04209,107007290,278583891,5.2663,4
5,1400,0,1.18272,86032623,259540182,4.6402,6
5,1400,0,2.11267,72020140,229145549,2.5977,8
5,1800,0,2.72304,223893975,527244872,4.2834,4
5,1800,0,2.80975,168785481,449299761,4.1513,6
5,1800,0,3.12386,140830332,393115769,3.7338,8
5,2200,0,5.02735,379590179,825088430,4.2360,4
5,2200,0,5.20182,291148704,704322074,4.0940,6
5,2200,0,5.68172,240986858,611475792,3.7482,8
5,2600,0,8.38888,634066197,1323090382,4.1903,4
5,2600,0,9.06022,462970069,1050028703,3.8798,6
5,2600,0,9.45788,380656588,921284833,3.7167,8
5,3000,0,13.0244,935177139,1835096726,4.1460,4
5,3000,0,13.3734,687488638,1493176893,4.0379,6
5,3000,0,13.9574,559615408,1275764186,3.8689,8
5,4096,0,31.5152,2322369360,4313668069,4.3610,4
5,4096,0,31.8195,1669608604,3402718378,4.3193,6
5,4096,0,34.8185,1280838645,2604956609,3.9473,8
5,6144,0,106.108,7837730709,13791467652,4.3715,4
5,6144,0,105.821,5290956312,9752023061,4.3834,6
5,6144,0,104.488,4162199656,8160451406,4.4393,8
5,8192,0,251.062,20618235164,32062509875,4.3794,4
5,8192,0,248.815,12607921883,23008103611,4.4190,6
5,8192,0,252.75,9481321256,16320996529,4.3502,8
5,10240,0,486.596,69808746016,59472951577,4.4133,4
5,10240,0,479.357,25424808269,41810164544,4.4799,6
5,10240,0,490.61,18559167069,30119242326,4.3772,8
