Operation,Dimention,BlockSize,Time,Gflops
1,600,0,0.203933243,2.1183402649071787
1,1000,0,1.303944177,1.5338079921499583
1,1400,0,4.088887757,1.3421742845850388
1,1800,0,18.459092549,0.6318837163331673
1,2200,0,39.232400559,0.5428166438088289
1,2600,0,68.971293154,0.5096613154912459
1,3000,0,114.077462448,0.4733625629568579
2,600,0,0.115564977,3.738156760071003
2,1000,0,0.516634678,3.8712074221235304
2,1400,0,1.65802881,3.3099545477741126
2,1800,0,3.613491952,3.2279025814750177
2,2200,0,6.703067474,3.1770529063900037
2,2600,0,11.026739151,3.187887145839676
2,3000,0,16.925931566,3.190370928148653
