Operation,Dimention,BlockSize,Time,L1_DCM,L2_DCM
1,600,0,0.181835,0,0
1,1000,0,0.920711,0,0
1,1400,0,4.67202,0,0
1,1800,0,8.808,0,0
1,2200,0,16.1923,139661037181344,139661037181504
1,2600,0,36.3071,140521968408992,140521968409152
1,3000,0,74.5084,0,0
2,600,0,0.107185,140712150735264,140712150735424
2,1000,0,0.48463,0,0
2,1400,0,1.32082,0,0
2,1800,0,2.73568,139649989384608,139649989384768
2,2200,0,5.03206,0,0
2,2600,0,8.23412,140279957068192,140279957068352
2,3000,0,12.6042,139718891313568,139718891313728
2,4096,0,32.8539,0,0
2,6144,0,107.798,0,0
2,8192,0,260.641,0,0
2,10240,0,514.833,139629143693728,139629143693888
3,4096,128,25.8567,140247281342880,140247281343040
3,4096,256,24.7279,0,0
3,4096,512,33.0545,0,0
3,6144,128,95.7365,140475109644704,140475109644864
3,6144,256,81.7646,0,0
3,6144,512,110.945,140050901932448,140050901932608
3,8192,128,303.893,0,0
3,8192,256,400.698,0,0
3,8192,512,366.783,0,0
3,10240,128,448.179,0,0
3,10240,256,644.176,140068081801632,140068081801792
3,10240,512,703.297,140139097659808,140139097659968
